App,FP,Note,Type of change (merged by both author),Version,commit,TestFilePath,ProductionFilePath,Maintenance Label,What Initially Motivated the Commit?,Do Developers Remove Smell due to Awareness?,How is the smell removed,known RF Found for removing smell,does refactoring align with main motivation? Or is it byNAproduct?,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test
kafka,-,removed test case due to feature improvement,D-W-FI,connect,11afff09908035166febf9b75c410112693ff98c,\kafka\connect\runtime\src\test\java\org\apache\kafka\connect\runtime\ConnectMetricsTest.java,NA,feature improvement,feature improvement to use new feature added previously,FALSE,deletes the method,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kafka,-,refactor test cases [improvement] after a bug fix [follow up],RFT-A-BF,streams,724cddbc56fec227727db4caf75c77adb62438e6,\kafka\streams\src\test\java\org\apache\kafka\streams\integration\ResetIntegrationTest.java,NA,improvement,"Fixing Bug caused by test failure to use a method prior to execution of current method. The method is originally in setup, but moved to other methods that require it for test pass.",FALSE,"since a method in setup is required to be executed in test method to pass a test, it moves the method there",-,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,refactor test cases after a bug fix,RFT-A-BF,streams,125d69caee993710bc07523fdd3deb0e06b10636,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\internals\KStreamMapTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\internals\KStreamMap.java,feature improvement after fixing a bug,code clean [ remove hacky reflection in test ] up after fixing a bug [ api exposes too much of private method that should not be made public ],TRUE,deletes throw,-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,refactor test case prior to feature addition,RFT-P-FA,streams,ec9e4eafa406fec897713310bafdedf6bbb3c0c5,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\internals\KTableKTableJoinTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\internals\KTableKTableJoin.java,feature improvement,implementing new feature requires new tests. Writing new tests required refactoring of original test for ease of extension,FALSE,Refactoring [SMELL PERSISTS],EXTRACT METHOD,TRUE,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
kafka,-,refactor test cases,RFT,streams,c5464edbb7a6821e0a91a3712b1fe2fd92a22d68,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\internals\KStreamKTableLeftJoinTest.java,NA,refactor test [related to exception handling],"""Now instead of just generic `Exception` methods declare more concrete
  exceptions throwing or don't declare any throwing at all, if not needed.""",TRUE,"removes throw exception because generic exception is not needed ""just a noise"" - but developer insists on enumerating exception, while other thinks it's overkill or wonder why it's needed. Thus they decide ""are you ok if we keep the cleanup but whenever we have more than one specific exception we just throw Exception.""",-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,refactor/delete test while fixing a bug,D-W-BF,streams,cae42215b7597cc39afc682cb0399782cf42fe23,\kafka\streams\src\test\java\org\apache\kafka\streams\processor\internals\assignment\SubscriptionInfoTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\processor\internals\assignment\SubscriptionInfo.java,bug [associated with rolling release conflict in versions],change implementation test while fixing abug,FALSE,deletes code,-,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,FP,-,-,streams,86de2dfd27f96dd3fea0635ad110c63bc639c721,\kafka\streams\src\test\java\org\apache\kafka\streams\integration\GlobalThreadShutDownOrderTest.java,NA,code clean up,General Code clean up,-,-,-,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,refactor test while fixing bug,RFT-W-BF,streams,86de4a86b87c1b45732303c07d263e317ffd0ebf,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\internals\KStreamKTableJoinTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\internals\KStreamKTableJoin.java,bug fixing [ handling of null object ],"implementing to allow kstream-ktable join to return null to indicate no valid key exists for join operation. Without this, null value will crash kafka",FALSE,"Refactoring [SMELL PERSISTS], but not detected by RF Miner since its extract method and adds new function. Moreover, the condional loop was used to put 2 topic into kafka stream. This occurs a lot for many tests. Thus, it is extracted into its own method with a argument deciding how many topics to initialize",EXTRACT METHOD and new function [dirty],FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,add test case due while adding new feature,AT-W-FA,clients,7d6ca52a2751908c7fc6b752d70dfaaaaa9bbe8c,\kafka\clients\src\test\java\org\apache\kafka\common\metrics\JmxReporterTest.java,\kafka\clients\src\main\java\org\apache\kafka\common\metrics\JmxReporter.java,bug fixing [ delete unnecessary implementation ] while adding new feature,"JMXReporter.java includes logic for sanitizing client I, but developer discusses that it's better to fail than to sanitize. Thus, include more logic in the test method to test for behavior (prior to this task, dev does not know it doesn't have any logic)",FALSE,-,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kafka,-,refactoring test cases,RFT,clients,b8651d4e82d45463d2c71798bd5852f8a605b440,\kafka\clients\src\test\java\org\apache\kafka\common\utils\MockTimeTest.java,NA,Code Clean Up,"general Code clean up [ Cleanup involves
 * Removing redundant code
 * Fixing typos
 * Simplifying code when possible
 * Refactoring to use Java 8 constructs when possible]",TRUE,-,-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,refactor test case while feature improvement,RFT-W-FI,clients,3b5d88febb186c4b92cc514fa2338de7bc338f67,\kafka\clients\src\test\java\org\apache\kafka\common\security\authenticator\SaslServerAuthenticatorTest.java,\kafka\clients\src\main\java\org\apache\kafka\common\security\authenticator\SaslServerAuthenticator.java,change implementation during feature improvement,"feature improvement followed by refactoinrg test code [instead of calling production method 2 times, it combines the two methods]",FALSE,move authenticator.configure into authenticator.authenticate() [refactoring?],-,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kafka,-,refactor test cases,RFT,clients,0b3989fd72acc6e989c495c63cb8ca6aa5850811,\kafka\clients\src\test\java\org\apache\kafka\common\acl\AclBindingTest.java,\kafka\clients\src\main\java\org\apache\kafka\common\acl\AclBinding.java,refactor test while adding new feature,refactor test / adds additional test while implementing new feature,TRUE [removes unused throws],removes throws,-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,refactor test cases,RFT,connect,8abbf33b5978b93354ae35c5e21c474816c9cc76,\kafka\connect\runtime\src\test\java\org\apache\kafka\connect\runtime\WorkerConfigTransformerTest.java,\kafka\connect\runtime\src\main\java\org\apache\kafka\connect\runtime\WorkerConfigTransformer.java,refactor test,clean up test code,TRUE,removed throws,-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,-,RFT,streams,c5464edbb7a6821e0a91a3712b1fe2fd92a22d68,\kafka\streams\src\test\java\org\apache\kafka\streams\processor\internals\assignment\ClientStateTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\processor\internals\assignment\ClientState.java,refactor test [related to exception handling],-,TRUE,"removes throw exception because generic exception is not needed ""just a noise"" - but developer insists on enumerating exception, while other thinks it's overkill or wonder why it's needed. Thus they decide ""are you ok if we keep the cleanup but whenever we have more than one specific exception we just throw Exception.""",-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,FP,-,-,streams,3991d81f6c645bdf36c58e3d56b829ff92dbff3a,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\internals\KTableImplTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\internals\KTableImpl.java,-,"code cleanup [Java8 rewrites
 removed unused classed
 remove warnings
 break long lines that are hard to read into short lines
 some code re-formatting
 JavaDoc improvements]",FALSE,-,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kafka,-,remove ignore after refactor test while fixing a bug,D-A-BF,streams,2586226a9a5300fea427ca001608ad86d393df1b,\kafka\streams\src\test\java\org\apache\kafka\streams\integration\ResetIntegrationTest.java,NA,bug fixing [fix failed test due to slow test],bug fixing transiently slow test,FALSE,remove ignore after refactoring test to fix a bug,replace thread.sleep with waitFor utilty,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kafka,-,-,RFT,streams,c5464edbb7a6821e0a91a3712b1fe2fd92a22d68,\kafka\streams\src\test\java\org\apache\kafka\streams\state\internals\ChangeLoggingKeyValueBytesStoreTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\state\internals\ChangeLoggingKeyValueBytesStore.java,refactor test [related to exception handling],-,TRUE,"removes throw exception because generic exception is not needed ""just a noise"" - but developer insists on enumerating exception, while other thinks it's overkill or wonder why it's needed. Thus they decide ""are you ok if we keep the cleanup but whenever we have more than one specific exception we just throw Exception.""",-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,delete test code feature improvement,D-W-FI,connect,11afff09908035166febf9b75c410112693ff98c,\kafka\connect\runtime\src\test\java\org\apache\kafka\connect\runtime\ConnectMetricsTest.java,NA,feature improvement,feature improvement,FALSE [deletes the entire method],delete entire method,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kafka,-,-,RFT,streams,c5464edbb7a6821e0a91a3712b1fe2fd92a22d68,\kafka\streams\src\test\java\org\apache\kafka\streams\state\internals\CachingSessionStoreTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\state\internals\CachingSessionStore.java,refactor test [related to exception handling],-,TRUE,"removes throw exception because generic exception is not needed ""just a noise"" - but developer insists on enumerating exception, while other thinks it's overkill or wonder why it's needed. Thus they decide ""are you ok if we keep the cleanup but whenever we have more than one specific exception we just throw Exception.""",-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,refactor test code while fixing a bug,RFT-W-BF,clients,a8c17e36c3239f33925b061d99a5d1d1074bbc67,\kafka\clients\src\test\java\org\apache\kafka\common\record\LazyDownConversionRecordsTest.java,\kafka\clients\src\main\java\org\apache\kafka\common\record\LazyDownConversionRecords.java,bug fixing [ for better handler ],fix handling of down conversion when no valid batch exists,FALSE,Refactor [SMELL PERSISTS],Extracted a parameterized class and moved method,TRUE,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,`,0
kafka,FP,-,-,streams,ac9c3ed0b43ee848e6e555a01c55ea2eee78540a,\kafka\streams\src\test\java\org\apache\kafka\streams\processor\internals\StreamTaskTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\processor\internals\StreamTask.java,IMPROVEMENT/MAJOR,"General cleanup of Streams code, mostly resolving compiler warnings and re-formatting.",-,-,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kafka,-,-,RFT,streams,c5464edbb7a6821e0a91a3712b1fe2fd92a22d68,\kafka\streams\src\test\java\org\apache\kafka\streams\state\internals\QueryableStoreProviderTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\state\internals\QueryableStoreProvider.java,refactor test [related to exception handling],-,TRUE,"removes throw exception because generic exception is not needed ""just a noise"" - but developer insists on enumerating exception, while other thinks it's overkill or wonder why it's needed. Thus they decide ""are you ok if we keep the cleanup but whenever we have more than one specific exception we just throw Exception.""",-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,FP ,-,-,clients,3a496f480d002a4512273477eda9d92731e600c3,\kafka\clients\src\test\java\org\apache\kafka\common\network\SslTransportLayerTest.java,\kafka\clients\src\main\java\org\apache\kafka\common\network\SslTransportLayer.java,test/major,Add unit tests for SASL in the clients project using SASL/PLAIN implementation,FALSE,Refactoring,Move Class,"TRUE [the purpose of this commit is to add a unit test. Developer, refactor current test for ease of extension]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kafka,-,refactor test while feature improvement,RFT-W-FI,streams,bcc712b45820da74b44209857ebbf7b9d59e0ed7,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\internals\KStreamTransformValuesTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\internals\KStreamTransformValues.java,feature improvement,feature improvement [enable access to key in production code],FALSE,split some test logic and adds more code to complement feature improvement,decompose test method,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kafka,-,refactor test [delete thread.sleep],RFT,streams,7b7c4a7bb0fd25ddca4e4bdde9e605b3d5a1ba70,\kafka\streams\src\test\java\org\apache\kafka\streams\integration\PassThroughIntegrationTest.java,NA,refactoring test,replace thread.sleep with waituntil condition is true because time out may not be large enough (10seconds) and will integration test will trigger prematurely even though data has not been processed,TRUE,deleted thread.sleep,Test Specific Refactoring,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kafka,-,deletes test code & refactor test while improving feature,D/RFT-W-FI,clients,dc5bf4bd453495af050ea7c0ec7a66b8d2b2e8d4,\kafka\clients\src\test\java\org\apache\kafka\common\serialization\SerializationTest.java,NA,feature improvement [ could be useful ],"implementing a missing/useful component, which can improve performance a bit",TRUE,[exception] replaced with expected exception [duplicate] motivation allows developer to see mistakes,Test Specific Refactoring / there was also inline variable RF but not related to removing test smell,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kafka,-,refactor test code while improving feature,RFT-W-FI,streams,21f88a595b5785d8b9b9a17a3fb667b1712f3b61,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\internals\KStreamWindowAggregateTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\internals\KStreamWindowAggregate.java,feature improvement [ adds suppress options to current implementation ],feature improvement,FALSE,Refactoring [test smell persists],Extract Method to helper,TRUE [ ADDS ADDITIONAL LOGIC ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kafka,-,deletes test code while fixing a bug [deadlock],D-W-BF,streams,b78d7ba5d58fa77b831244444eef005a62883f9b,\kafka\streams\src\test\java\org\apache\kafka\streams\processor\internals\ProcessorStateManagerTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\processor\internals\ProcessorStateManager.java,bug fixing [ deadlock ],deadlock caused by not releasing the file dir locks in task suspension.,FALSE,"deleted the entire method because of change in implementation logic. For example, processorstatemanger should not be instantiated if topology has a statestore. Thus, the throw exception test method is moved to a different class.",-,NA,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,0,0,0,0,0
kafka,-,delete test method while fixing a bug,D-W-BF,streams,64fff8bfcc9b92769640bfaa692e19d0db8861a6,\kafka\streams\src\test\java\org\apache\kafka\streams\state\StoresTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\state\Stores.java,bug fixing [ incorrect implementation ],bug fixing,FALSE,delete the entire test method,-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,refactor setup while feature improvement,RFT-W-FI,streams,de24d4a459ccfac623e71722f8df8b1e99f2ad43,\kafka\streams\src\test\java\org\apache\kafka\streams\processor\internals\StateDirectoryTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\processor\internals\StateDirectory.java,feature improvement,feature improvement,FALSE,refactoring [test smell persists],extract method from @before,TRUE [but difficult to understand code calls the same method at the @before and in each test code,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,refactor test (replace assert with utility) while fixing a bug,RFT-W-BF,streams,24e6423424bf0e41dc05c4a67226e92011e34968,\kafka\streams\src\test\java\org\apache\kafka\streams\integration\RegexSourceIntegrationTest.java,NA,bug fixing [ hanging test ],fix hanging test by increasing time out.,FALSE,"assertion method is moved to a utility method, which also waits for 30 seconds until a condition is recieved and asserts after or fail if not received",replace assertion with utility that asserts with additional logic,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kafka,-,refactor test (to close file) to fix a bug (Exception),RFT-T-BF,streams,1a73629bb43bbc781e5a968a61f6079365bc75b7,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\internals\KTableImplTest.java,NA,bug fixing [ exception ],to fix an exception that may have been caused by not explicitly closing file,FALSE,"while implementing teardown for explicit closing of file, refactor test code to extract file open into @before setup (fresh fixture)",Test Specific Refactoring (Extract common logic in setup),TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
camel,-,delete ignore after fixing a bug,D-A-BF,components,9ad6806672f69651bfa6cf7563b2c7383e2f9a7c,\camel\components\camel-ahc\src\test\java\org\apache\camel\component\ahc\AhcProduceSSLContextParametersGetTest.java,NA,improvement [ failed test from improvement in API; thus add previous version of API ],removing ignored test that failed due to API upgrade,TRUE,deletes ignore,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
camel,-,refactor test (refactor thread; perform improv.),RFT,components,722e590cbe7a1ec8fd7fec79ced9d99eceb25f03,\camel\components\camel-spring\src\test\java\org\apache\camel\spring\placeholder\SimpleLanguageWithSprinPropertyPlaceholderRouteTest.java,NA,Test Refactoring [ use awaitility to improve speed ],"Use awaitility for testing where we otherwise use thread sleep. To speed up testing. ""slightly reduce code by using additional awaitility features.""",FALSE,replaces thread sleep with awaitility,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
camel,-,"refactor test (remove dup, delegate) [ not for test smell ]",RFT,components,fbee9c11b80bc071e082291db6a7f0818e77d9d1,\camel\components\camel-dropbox\src\test\java\org\apache\camel\component\dropbox\integration\producer\DropboxProducerGetSingleTest.java,NA,Refactor Test,Refactoring Drop box tests,FALSE,"[constructor] initially an empty constructor that throws exception, but deleted for @before [assertion roulette] the methods were Refactored, and assertion roulette was deleted",Extracted method,TRUE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camel,-,change implementation in test code while feature improvement,CI-W-FI,camel-core,385f2cbe8e620f1f1801a6f3c633692a7e330c06,\camel\camel-core\src\test\java\org\apache\camel\processor\ValidateRegExpTest.java,NA,Feature improvement [ change implementation to hide sensitive details ],"improve test (message body shouldn't be outputted due to sensitive info, thus only output ID)",FALSE,change in test implementation,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
camel,-,refactor test (replace test with mock) [ not for test smell ],RFT,components,d5f98dc4d5b007294866905333f4b36a6f3605da,\camel\components\camel-kubernetes\src\test\java\org\apache\camel\component\kubernetes\producer\KubernetesPersistentVolumesProducerTest.java,\camel\components\camel-kubernetes\src\main\java\org\apache\camel\component\kubernetes\persistent_volumes\KubernetesPersistentVolumesProducer.java,Refactor test [ using mock ],Refactor test using mock,FALSE,[conditonal ] replaced with mock which facilitates one admin at a time [unknown test] assertion was added,-,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
camel,-,change in test code implementation while fixing a bug [ not for test smell ],CI-W-BF,tests,9e7714a7484f92b7e69e06a3d1d3325dcfb08a28,\camel\tests\camel-itest-karaf\src\test\java\org\apache\camel\itest\karaf\CamelTestTest.java,NA,bug fixing [failed test due to new karaf version ],test doens't work on karaf 4 [failed test; fixing],FALSE,InstallCamelFeature is required to fix a test failure and is required in many places. This is added in this unknown method.,-,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camel,-,refactor test (refactor thread; perform improv.) [ not for test smell ],RFT,camel-core,d461cf7ccbd249bd98f7731f395a65dfab66e16e,\camel\camel-core\src\test\java\org\apache\camel\component\timer\TimerRestartTest.java,NA,Test Refactoring [ use awaitility to improve speed ],using awaitility in camel-core tests when we wait via thread sleep,FALSE,removed thread.sleep,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
camel,FP,-,-,components,00d1d70ba10f96888791c0e9d73ad044e4126884,\camel\components\camel-spring-boot\src\test\java\org\apache\camel\spring\boot\actuate\endpoint\CamelRoutesEndpointTest.java,\camel\components\camel-spring-boot\src\main\java\org\apache\camel\spring\boot\actuate\endpoint\CamelRoutesEndpoint.java,New Feature [API],add a new API,FALSE,-,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
camel,-,delete test code (remove throws from expected) while adding new feature (developer recognizes mistake),D-W-FA,components,53d0679559106bce561aee98b0362815a80c5a70,\camel\components\camel-micrometer\src\test\java\org\apache\camel\component\micrometer\MicrometerEndpointTest.java,\camel\components\camel-micrometer\src\main\java\org\apache\camel\component\micrometer\MicrometerEndpoint.java,New Feature,adding new feature,TRUE,"developer realizes mistake that test can't throw general exception, which would fail, but also have expected exception, which should pass.",-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camel,-,delete test code (by-product) while refactoring test (decrease delay; improve test speed),D-W-RFT,components,4703172d1017009ab69fd51adce3f114d1434fcc,\camel\components\camel-mail\src\test\java\org\apache\camel\component\mail\MailRouteTest.java,NA,Test Refactoring [ Improve test speed ],decrease consumer delays to make test run faster,TRUE,deleted thread.sleep,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
camel,-,"refactor test code (extract class; common logic [duplicate]) [ not for test smell, but rather for duplication ]",RFT [ remove duplication ],components,541114c17cd6ba1e87c644cc65a86ffc7bc48cbd,\camel\components\camel-cassandraql\src\test\java\org\apache\camel\processor\idempotent\cassandra\CassandraIdempotentRepositoryTest.java,\camel\components\camel-cassandraql\src\main\java\org\apache\camel\processor\idempotent\cassandra\CassandraIdempotentRepository.java,refactoring test code,extract superclass and pull up common code in setup,FALSE,Refactoring (smell persists),Extract superclass and pull up setup method,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
